Gene ID	Name	Notes
ECs5082	ECs5082	['protein', 'PhnI']
ECs1319	ECs1319	['hypothetical', 'protein']
ECs3330	ECs3330	['oxidoreductase', 'Fe-S', 'binding', 'subunit']
ECs1873	ECs1873	['amino', 'acid/amine', 'transport', 'protein']
ECs0080	leuO	['leucine', 'transcriptional', 'activator']
ECs3082	ECs3082	['transcriptional', 'regulator', 'NarP']
ECs4157	zntR	['zinc-responsive', 'transcriptional', 'regulator']
ECs3956	ECs3956	['hypothetical', 'protein']
ECs3931	ECs3931	['glycogen', 'synthesis', 'protein', 'GlgS']
ECs4203	ECs4203	['ABC', 'transporter', 'ATP-binding', 'protein']
ECs1657	ECs1657	['hypothetical', 'protein']
ECO570852	NA
ECs0400	ECs0400	['hypothetical', 'protein']
ECs5361	ECs5361	['RNA', 'methyltransferase']
ECs1125	ECs1125	['hypothetical', 'protein']
ECs0692	ECs0692	['glutamate/aspartate', 'transport', 'system', 'permease']
ECs3735	ECs3735	['hypothetical', 'protein']
ECs4803	ECs4803	['hypothetical', 'protein']
ECs0923	ECs0923	['hypothetical', 'protein']
ECs3737	ECs3737	['hypothetical', 'protein']
ECs4087	mtgA	['monofunctional', 'biosynthetic', 'peptidoglycan', 'transglycosylase']
ECs0420	tauB	['taurine', 'transporter', 'ATP-binding', 'protein']
ECs0229	ECs0229	['hypothetical', 'protein']
ECs1456	flgG	['flagellar', 'basal', 'body', 'rod', 'protein', 'FlgG']
ECs3921	ECs3921	['hypothetical', 'protein']
ECs5512	metZ	['tRNA']
ECs3570	ECs3570	['ascBF', 'operon', 'repressor']
ECs1294	ECs1294	['hypothetical', 'protein']
ECO570060	NA
ECs2897	ECs2897	['PTS', 'system', 'galactitol-specific', 'transporter', 'subunit', 'IIA']
ECs0545	ECs0545	['DNA-binding', 'transcriptional', 'regulator', 'CueR']
ECs4039	ECs4039	['collagenase']
ECs4725	ECs4725	['cytochrome']
ECs5464	ECs5464	['hypothetical', 'protein']
ECs2845	ECs2845	['glycosyl', 'transferase', 'family', 'protein']
ECs4230	ECs4230	['hypothetical', 'protein']
ECs3913	ECs3913	['ferrichrome-binding', 'protein']
ECs1118	ECs1118	['tail', 'assembly', 'protein']
ECs5587	glyV	['tRNA']
ECs1280	ECs1280	['major', 'pilin', 'protein']
ECs3042	ECs3042	['galactose-binding', 'transport', 'protein']
ECs0375	ECs0375	['ABC', 'transporter', 'ATP-binding', 'protein']
ECs3779	ECs3779	['proline', 'aminopeptidase', 'P', 'II']
ECs2395	ECs2395	['hypothetical', 'protein']
ECs2753	ECs2753	['hypothetical', 'protein']
ECs1151	ECs1151	['trimethylamine', 'N-oxide', 'reductase', 'cytochrome', 'c-type', 'subunit']
ECs0405	mhpD	['2-keto-4-pentenoate', 'hydratase']
ECO570431	NA
ECs2355	ECs2355	['superoxide', 'dismutase']
ECs0452	proY	['permease']
ECs1666	ECs1666	['transposase']
ECO570760	NA
ECs0828	ECs0828	['hypothetical', 'protein']
ECs2347	ECs2347	['pyridoxamine', "5'-phosphate", 'oxidase']
ECO570703	NA
ECs2550	ECs2550	['resistance', 'protein']
ECs4375	ECs4375	['arsenate', 'reductase']
ECs3938	ECs3938	['signal', 'transduction', 'protein']
ECs4846	ECs4846	['hypothetical', 'protein']
ECs2617	ECs2617	['integrase']
ECs1707	ECs1707	['hypothetical', 'protein']
ECs3994	ECs3994	['formate', 'acetyltransferase', '3']
ECs2346	ECs2346	['tyrosyl-tRNA', 'synthetase']
ECs0134	ECs0134	['hypothetical', 'protein']
ECs3106	ECs3106	['transcriptional', 'regulator', 'RcsB']
ECs1045	ECs1045	['hypothetical', 'protein']
ECs3139	ECs3139	['hypothetical', 'protein']
ECs0857	ECs0857	['excinuclease', 'ABC', 'subunit', 'B']
ECs4996	ECs4996	['hypothetical', 'protein']
ECs5360	ECs5360	['hypothetical', 'protein']
ECs3875	ECs3875	['hydrogenase', '2', 'accessory', 'protein', 'HypG']
ECs4301	livF	['ABC', 'transporter', 'ATP-binding', 'protein']
ECs3671	ECs3671	['hypothetical', 'protein']
ECs4394	ECs4394	['transport', 'system', 'permease']
ECs3363	ECs3363	['polyphosphate', 'kinase']
ECs0426	ECs0426	['beta-lactam', 'binding', 'protein', 'AmpH']
ECs2249	ECs2249	['hypothetical', 'protein']
ECs3542	proX	['glycine', 'betaine', 'transporter', 'periplasmic', 'subunit']
ECs2866	ECs2866	['tyrosine', 'phosphatase']
ECs1112	ECs1112	['minor', 'tail', 'protein']
ECs5372	aspV	['tRNA']
ECs0922	ECs0922	['proton', 'motive', 'force', 'efflux', 'pump']
ECs5106	ECs5106	['DcuR', 'family', 'transcriptional', 'regulator']
ECs4912	ECs4912	['protein', 'HtrC']
ECs3061	ECs3061	['bifunctional', 'PTS', 'system', 'fructose-specific', 'transporter', 'subunit', 'IIA/HPr', 'protein']
ECs0621	ECs0621	['hypothetical', 'protein']
ECs0038	ECs0038	['carnitine', 'operon', 'protein', 'CaiE']
ECs5237	ECs5237	['leucyl', 'aminopeptidase']
ECs3889	ECs3889	['biopolymer', 'transport', 'protein', 'ExbD']
ECs4689	trkD	['potassium', 'transport', 'protein', 'Kup']
ECs0915	rimO	['ribosomal', 'protein', 'S12', 'methylthiotransferase']
ECs3396	ECs3396	['cysteine', 'desulfurase']
ECs4712	ECs4712	['guanosine', 'pentaphosphate', 'phosphohydrolase']
ECs4053	ECs4053	['alkaline', 'phosphatase']
ECs1857	ECs1857	['DeoR', 'family', 'transcriptional', 'regulator']
ECs0217	ECs0217	['hypothetical', 'protein']
pO157p77	pO157p77	['transposase']
ECs1052	ECs1052	['acylphosphatase']
ECs1350	ECs1350	['hypothetical', 'protein']
ECs5420	ECs5420	['hypothetical', 'protein']
ECs0475	ECs0475	['geranyltranstransferase']
ECs5078	ECs5078	['protein', 'PhnM']
ECs1199	ECs1199	['antirepressor', 'protein']
ECs0177	cdsA	['CDP-diglyceride', 'synthase']
ECs4312	ECs4312	['cell', 'division', 'protein', 'FtsE']
ECs3701	ECs3701	['acetyl-CoA', 'acetyltransferase']
ECs3648	ECs3648	['glucarate', 'dehydratase']
ECs2612	ECs2612	['hypothetical', 'protein']
ECs1767	ECs1767	['hypothetical', 'protein']
ECs3296	ECs3296	['thiosulfate', 'transporter', 'subunit']
ECs3912	ECs3912	['transcriptional', 'regulator']
ECs3153	ECs3153	['menaquinone-specific', 'isochorismate', 'synthase']
ECs4969	ECs4969	['portal', 'protein']
ECs5402	dicF1	['miscRNA']
ECO574175	NA
ECs3304	ECs3304	['hypothetical', 'protein']
ECs5040	uvrA	['excinuclease', 'ABC', 'subunit', 'A']
ECs3894	ECs3894	['oxidoreductase']
ECs1397	ECs1397	['hypothetical', 'protein']
ECs3034	ECs3034	['hypothetical', 'protein']
ECs2402	ECs2402	['acyl-CoA', 'dehydrogenase']
ECs3962	ECs3962	['glycosyl', 'hydrolase']
ECs4591	ECs4591	['hypothetical', 'protein']
ECs2288	ECs2288	['hypothetical', 'protein']
ECs4071	ECs4071	['hypothetical', 'protein']
ECs5037	aphA	['acid', 'phosphatase/phosphotransferase']
ECs0608	ECs0608	['sensor', 'kinase', 'CusS']
ECs2977	ECs2977	['hypothetical', 'protein']
ECs3182	ECs3182	['hypothetical', 'protein']
ECs4856	ECs4856	['ribonuclease', 'activity', 'regulator', 'protein', 'RraA']
ECs5335	ECs5335	['hypothetical', 'protein']
ECs2521	ECs2521	['para-aminobenzoate', 'synthase', 'component', 'I']
ECs1524	ECs1524	['antitermination', 'protein']
ECs3460	ECs3460	['translation', 'inhibitor', 'protein', 'RaiA']
ECs0534	ECs0534	['hypothetical', 'protein']
ECs4604	ECs4604	['regulatory', 'protein', 'UhpC']
ECs1396	ECs1396	['AidA-I', 'adhesin-like', 'protein']
ECs0635	ECs0635	['2,3-dihydro-2,3-dihydroxybenzoate', 'dehydrogenase']
ECs4788	ECs4788	['hypothetical', 'protein']
ECs3231	ECs3231	['prophage', 'Sf6-like', 'integrase']
ECs4190	tuf	['elongation', 'factor', 'Tu']
ECs5177	ECs5177	['primosomal', 'replication', 'protein', 'N']
ECs3650	ECs3650	['flavodoxin']
ECs1097	ECs1097	['hypothetical', 'protein']
ECs4022	ECs4022	['outer', 'membrane', 'protein']
ECs1593	ECs1593	['head-tail', 'adaptor']
ECs4608	ECs4608	['hypothetical', 'protein']
ECs3843	ECs3843	['integrase']
ECs4545	ECs4545	['hypothetical', 'protein']
ECs1201	ECs1201	['protein', 'NinG']
ECs3819	ECs3819	['galactose-proton', 'symport', 'of', 'transport', 'system']
ECs0264	ECs0264	['hypothetical', 'protein']
ECs4445	ECs4445	['hypothetical', 'protein']
ECs3013	ECs3013	['integrase']
ECs4991	ECs4991	['tail', 'fiber', 'protein']
ECs2878	ECs2878	['chaperone']
ECs0228	ECs0228	['hypothetical', 'protein']
ECs5203	ECs5203	['toxin', 'ChpB']
ECs2486	ECs2486	['hypothetical', 'protein']
ECs4192	ECs4192	['30S', 'ribosomal', 'protein', 'S7']
ECs5321	ECs5321	['DNA', 'replication', 'protein', 'DnaC']
ECs2968	ECs2968	['endolysin']
ECs4351	ECs4351	['phosphotransferase', 'system', 'enzyme', 'IIB']
ECs2028	ECs2028	['hypothetical', 'protein']
ECs4407	ECs4407	['hypothetical', 'protein']
ECs0632	ECs0632	['isochorismate', 'synthase']
ECs1832	trpA	['tryptophan', 'synthase', 'subunit', 'alpha']
ECs0654	ECs0654	['citrate', 'lyase', 'subunit', 'alpha']
ECs4244	ECs4244	['transport']
ECs3560	ECs3560	['PTS', 'system', 'glucitol/sorbitol-specific', 'transporter', 'subunit', 'IIA']
ECs4389	hdeB	['acid-resistance', 'protein']
ECs3617	ECs3617	['phosphoadenosine', 'phosphosulfate', 'reductase']
ECs1639	ECs1639	['minor', 'tail', 'protein']
ECs3266	ECs3266	['transporter']
ECs0340	ECs0340	['hypothetical', 'protein']
ECs5594	leuQ	['tRNA']
ECs1164	ECs1164	['hypothetical', 'protein']
ECs0681	ECs0681	['hypothetical', 'protein']
ECs2454	argD	['bifunctional', 'succinylornithine', 'transaminase/acetylornithine', 'transaminase']
ECs4181	rpsS	['30S', 'ribosomal', 'protein', 'S19']
ECs1277	ECs1277	['outer', 'membrane', 'protein']
ECs0043	ECs0043	['L-carnitine/gamma-butyrobetaine', 'antiporter']
pO157p79	pO157p79	['hypothetical', 'protein']
ECs4397	ECs4397	['glutamate', 'decarboxylase']
ECs4535	ECs4535	['hypothetical', 'protein']
ECs1419	ECs1419	['curlin', 'minor', 'subunit']
ECs1184	ECs1184	['hypothetical', 'protein']
ECO572328	NA
ECs4140	ECs4140	['hypothetical', 'protein']
ECs4704	ECs4704	['branched-chain', 'amino', 'acid', 'aminotransferase']
ECs3653	ECs3653	['SecY', 'interacting', 'protein', 'Syd']
ECs4069	ECs4069	['hypothetical', 'protein']
ECs3886	ECs3886	['hypothetical', 'protein']
ECs4176	rpsQ	['30S', 'ribosomal', 'protein', 'S17']
ECs2255	ECs2255	['hypothetical', 'protein']
ECs4015	ECs4015	['N-acetylgalactosamine-6-phosphate', 'deacetylase']
ECs1060	ECs1060	['hypothetical', 'protein']
ECs4425	ECs4425	['phosphoethanolamine', 'transferase']
ECs2543	ECs2543	['hypothetical', 'protein']
ECs3500	ECs3500	['hypothetical', 'protein']
ECs1530	ECs1530	['holin']
ECs0283	ECs0283	['tail', 'fiber', 'protein']
ECs3657	ECs3657	['L-serine', 'dehydratase']
ECs4690	ECs4690	['D-ribose', 'pyranase']
ECs2121	ECs2121	['transport', 'system', 'permease']
ECs3201	ECs3201	['hypothetical', 'protein']
ECs3141	ECs3141	['UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate', 'aminotransferase']
ECs2950	ECs2950	['minor', 'tail', 'protein']
ECs4353	ECs4353	['sugar', 'kinase']
ECs2466	ECs2466	['hypothetical', 'protein']
ECs2435	ECs2435	['hypothetical', 'protein']
ECs1276	ECs1276	['chaperone', 'protein']
ECs2503	ECs2503	['hypothetical', 'protein']
ECs1459	flgJ	['flagellar', 'rod', 'assembly', 'protein/muramidase', 'FlgJ']
ECs2740	ECs2740	['hypothetical', 'protein']
ECs0640	ECs0640	['hypothetical', 'protein']
ECs4504	ECs4504	['UDP-D-galactose:(glucosyl)lipopolysaccharide-', 'alpha-1,3-D-galactosyltransferase']
ECs3143	ECs3143	['bifunctional', 'UDP-glucuronic', 'acid', 'decarboxylase/UDP-4-amino-4-deoxy-L-arabinose', 'formyltransferase']
ECO574323	NA
ECs3681	ECs3681	['hypothetical', 'protein']
ECs1777	ECs1777	['endonuclease']
ECs1762	ECs1762	['hypothetical', 'protein']
ECs3405	ECs3405	['3-phenylpropionate/cinnamic', 'acid', 'dioxygenase', 'subunit', 'beta']
ECs2377	ECs2377	['hypothetical', 'protein']
ECs0428	ECs0428	['hypothetical', 'protein']
ECs4906	rplK	['50S', 'ribosomal', 'protein', 'L11']
ECs0670	ECs0670	['D-alanyl-D-alanine', 'carboxypeptidase']
ECs0609	ECs0609	['CusR', 'family', 'transcriptional', 'regulator']
ECs4276	ECs4276	['glycogen', 'debranching', 'protein']
ECs0946	ECs0946	['arginine', 'ABC', 'transporter', 'substrate-binding', 'protein']
ECs1765	ECs1765	['transcriptional', 'repressor', 'DicA']
ECs0519	ECs0519	['hypothetical', 'protein']
ECs3261	ECs3261	['2-component', 'transcriptional', 'regulator']
ECs0313	ECs0313	['hypothetical', 'protein']
ECO574920	NA
ECs1080	ECs1080	['prophage', 'maintenance', 'protein']
ECs3305	ECs3305	['acetyltransferase', 'YpeA']
ECs1466	ECs1466	['hypothetical', 'protein']
ECs2301	ECs2301	['LysR', 'family', 'transcriptional', 'regulator']
ECs5283	ECs5283	['DNA-binding', 'transcriptional', 'repressor', 'UxuR']
ECO571763	NA
ECs2154	ECs2154	['hypothetical', 'protein']
ECO571710	NA
ECs3443	ECs3443	['LysR', 'family', 'transcriptional', 'regulator']
ECO570080	NA
ECs0952	ECs0952	['hypothetical', 'protein']
ECs0496	ECs0496	['hypothetical', 'protein']
ECs1239	ECs1239	['hypothetical', 'protein']
ECs3664	ECs3664	['FucU']
ECs4971	ECs4971	['hypothetical', 'protein']
ECO571073	NA
ECs1096	ECs1096	['endolysin']
ECs5504	ileY	['tRNA']
ECO572267	NA
ECs4687	yieM	['hypothetical', 'protein']
ECs5228	ECs5228	['hypothetical', 'protein']
pO157p60	IS629	['hypothetical', 'protein']
pO157p53	parB	['F', 'leading', 'maintenance', 'protein', 'F', 'leading', 'maintenance', 'protein|small', 'toxic', 'polypeptide']
ECs4144	ECs4144	['ABC', 'transporter', 'ATP-binding', 'protein']
ECs0705	ECs0705	['UMP', 'phosphatase']
ECs0090	murF	['UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine', 'ligase']
ECs1083	ECs1083	['crossover', 'junction', 'endodeoxyribonuclease']
ECs0580	ECs0580	['acyl-CoA', 'synthetase', 'FdrA']
ECs0982	ECs0982	['hypothetical', 'protein']
ECs2973	ECs2973	['Shiga', 'toxin', 'I', 'subunit', 'B']
ECs5381	ECs5381	['hypothetical', 'protein']
ECO570682	NA
ECs3275	ECs3275	['hypothetical', 'protein']
ECs1656	ECs1656	['hypothetical', 'protein']
ECs2354	ECs2354	['hypothetical', 'protein']
ECO571808	NA
ECs4851	glpK	['glycerol', 'kinase']
ECs5396	lysY	['tRNA']
ECs2343	NA
ECs1140	ECs1140	['hypothetical', 'protein']
ECs1881	ECs1881	['phage', 'shock', 'protein', 'PspA']
ECs2827	ECs2827	['bifunctional', 'phosphoribosyl-AMP', 'cyclohydrolase/phosphoribosyl-ATP', 'pyrophosphatase']
ECs2559	purT	['phosphoribosylglycinamide', 'formyltransferase', '2']
ECs4744	ECs4744	['hypothetical', 'protein']
ECs2198	ECs2198	['MokW', 'protein']
ECs2517	ECs2517	['hypothetical', 'protein']
ECs1922	ECs1922	['aminohydrolase']
ECs4209	ECs4209	['hypothetical', 'protein']
ECs1446	ECs1446	['hypothetical', 'protein']
ECs1236	ECs1236	['outer', 'membrane', 'protein']
ECO573475	NA
ECs0035	ECs0035	['carbamoyl', 'phosphate', 'synthase', 'small', 'subunit']
ECs5443	ECs5443	['hypothetical', 'protein']
ECs2568	NA
ECs0117	pdhR	['transcriptional', 'regulator', 'PdhR']
pO157p17	hlyC	['hemolysin', 'C']
ECs5535	proK	['tRNA']
ECs4656	ECs4656	['hypothetical', 'protein']
ECs0525	recR	['recombination', 'protein', 'RecR']
ECs2157	ECs2157	['hypothetical', 'protein']
ECs4222	frlB	['fructoselysine-6-P-deglycase']
ECs5015	malG	['maltose', 'transporter', 'permease']
ECs4411	ECs4411	['endo-1,4-D-glucanase']
ECs4722	ECs4722	['glucose-1-phosphate', 'thymidylyltransferase']
ECs0882	ECs0882	['hydroxylase']
ECs1819	ECs1819	['hypothetical', 'protein']
ECs3178	ECs3178	['hypothetical', 'protein']
ECs0321	ECs0321	['hypothetical', 'protein']
ECs2014	acpD	['azoreductase']
ECs1783	ECs1783	['hypothetical', 'protein']
ECs1497	ECs1497	['N-acetyl-D-glucosamine', 'kinase']
ECs4777	ECs4777	['potassium', 'transporter']
ECs3323	ECs3323	['hypothetical', 'protein']
ECs2408	ECs2408	['short', 'chain', 'acyl-CoA', 'synthetase']
ECs0610	ECs0610	['copper/silver', 'efflux', 'system', 'outer', 'membrane', 'protein', 'CusC']
ECs4267	ECs4267	['intramembrane', 'serine', 'protease', 'GlpG']
ECs1424	ECs1424	['synthase']
ECs1779	ECs1779	['lipoprotein']
ECs5413	ECs5413	['hypothetical', 'protein']
ECs3519	ECs3519	['hypothetical', 'protein']
ECs3281	ECs3281	['hypothetical', 'protein']
ECs5348	ECs5348	['nicotinamide-nucleotide', 'adenylyltransferase']
ECs0386	ECs0386	['2-methylcitrate', 'synthase']
ECs3474	ECs3474	['hypothetical', 'protein']
ECs2937	ECs2937	['2-component', 'sensor', 'protein']
ECs4808	ECs4808	['phosphatase']
ECs4386	ECs4386	['hemin', 'permease']
ECs5032	pspG	['phage', 'shock', 'protein', 'G']
ECs4388	ECs4388	['Mg(2+)', 'transport', 'ATPase']
ECs3240	ECs3240	['resolvase']
ECs5394	lysW	['tRNA']
ECs4079	ECs4079	['lipopolysaccharide', 'transport', 'periplasmic', 'protein', 'LptA']
ECs2412	ECs2412	['hypothetical', 'protein']
ECs1691	ECs1691	['hypothetical', 'protein']
ECs0831	ECs0831	['hypothetical', 'protein']
ECs4393	ECs4393	['multidrug', 'efflux', 'system', 'protein', 'MdtE']
ECs2043	ECs2043	['transcriptional', 'regulator']
ECO572190	NA
ECs5382	ECs5382	['hypothetical', 'protein']
ECs4947	ECs4947	['hypothetical', 'protein']
ECs2515	ECs2515	['outer', 'membrane', 'protein']
ECs2370	ECs2370	['cyclopropane-fatty-acyl-phospholipid', 'synthase']
ECs0748	sdhA	['succinate', 'dehydrogenase', 'flavoprotein', 'subunit']
ECs3456	ECs3456	['hypothetical', 'protein']
ECs3808	ECs3808	['mannitol-specific', 'PTS', 'system', 'enzyme', 'II', 'component']
ECs0328	ECs0328	['hypothetical', 'protein']
ECs4338	ECs4338	['3-oxoacyl-ACP', 'synthase']
ECs0383	ECs0383	['hypothetical', 'protein']
ECs0041	ECs0041	['crotonobetainyl-CoA:carnitine', 'CoA-transferase']
ECs3905	ECs3905	['hypothetical', 'protein']
ECs2365	ECs2365	['superoxide', 'dismutase']
ECs1085	ECs1085	['hypothetical', 'protein']
ECs0696	ECs0696	['transporter']
ECs3104	ECs3104	['outer', 'membrane', 'porin', 'protein', 'C']
ECs1028	ECs1028	['hypothetical', 'protein']
ECO572664	NA
ECs1516	ECs1516	['hypothetical', 'protein']
ECs0425	ECs0425	['DNA-binding', 'transcriptional', 'regulator']
ECs0323	ECs0323	['hypothetical', 'protein']
ECs5108	ECs5108	['hypothetical', 'protein']
ECs0063	ECs0063	['ATP-dependent', 'helicase', 'HepA']
ECs3410	ECs3410	['hypothetical', 'protein']
ECs1422	ECs1422	['hypothetical', 'protein']
ECs5016	malF	['maltose', 'transporter', 'membrane', 'protein']
ECs2286	ECs2286	['hypothetical', 'protein']
ECs0721	ECs0721	['ornithine', 'decarboxylase']
ECs0850	ECs0850	['hypothetical', 'protein']
ECs5380	ECs5380	['hypothetical', 'protein']
ECO574332	NA
ECs2376	ECs2376	['hypothetical', 'protein']
ECs1853	ECs1853	['tetratricopeptide', 'repeat', 'protein']
ECs4686	ECs4686	['asparagine', 'synthetase', 'AsnA']
ECs0389	codB	['cytosine', 'permease']
ECs4733	ECs4733	['uroporphyrinogen', 'III', 'C-methyltransferase']
ECs4839	cpxP	['repressor', 'CpxP']
ECs3576	ECs3576	['formate', 'hydrogenlyase', 'complex', 'iron-sulfur', 'subunit']
ECs4665	ECs4665	['fimbrial', 'protein']
ECs4218	ECs4218	['nitrite', 'transporter', 'NirC']
ECs1135	ECs1135	['third', 'cytochrome', 'oxidase', 'subunit', 'II']
ECs1682	ECs1682	['fatty', 'acid', 'metabolism', 'regulator']
ECs1587	ECs1587	['single', 'stranded', 'DNA-binding', 'protein']
ECs4705	ECs4705	['dihydroxy-acid', 'dehydratase']
ECs1879	ECs1879	['4-aminobutyrate', 'transaminase']
ECs2848	wcaM	['colanic', 'acid', 'biosynthesis', 'protein']
ECO572288	NA
