Label	Type	Frame	Begin	End	Length	Evidence	Mutation	Gene	Synonyms	Product	Class	ProductType	Localization	Roles	ECnumber	MicroCycRid	MicroCycPid	RheaRid	AnnotatedRid	CreationDate	AmigeneStatus	PubmedID	Note	BioProcess	Matrix	Annotator	Atot	Ctot	Gtot	Ttot	GCtot	ATtot	A1	C1	G1	T1	GC1	AT1	A2	C2	G2	T2	GC2	AT2	A3	C3	G3	T3	GC3	AT3	CAI	MW	KD	Tiny	Small	Aliphatic	Aromatic	Non_Polar	Polar	Charged	Basic	Acidic	Pi	OI
ECs0010	CDS	-1	9945	10511	567	automatic/finished	no	yaaH		conserved hypothetical protein; putative inner membrane protein associated with acetate transport	4 : Unknown function but conserved in other organisms	m : membrane component	11 : Membrane	3.1.4 : Regulation level unknown ; 6.1 : Membrane ;						2005-01-04 00:00:00	COMMON			12 : Regulatory functions ;	2		0.183422	0.2593	0.268078	0.289242	0.527337	0.472663	0.26455	0.227513	0.328042	0.179894	0.555556	0.444444	0.179894	0.21164	0.185185	0.42328	0.396825	0.603175	0.10582	0.338624	0.291005	0.26455	0.62963	0.37037	0.6898	20070.025	0.952128	0.345745	0.478723	0.292553	0.159574	0.755319	0.244681	0.085106	0.053191	0.031915	8.074577	8.473404
ECs0012	CDS	-3	10660	11373	714	automatic/finished	no	htpY	htgA, yaaW	heat shock protein	1b : Function from experimental evidences in the studied species	r : regulator	1 : Unknown							2005-01-04 00:00:00	COMMON	8478327		16.3 : Control ;	1		0.264706	0.2367	0.273109	0.22549	0.509804	0.490196	0.247899	0.298319	0.315126	0.138655	0.613445	0.386555	0.331933	0.159664	0.193277	0.315126	0.352941	0.647059	0.214286	0.252101	0.310924	0.222689	0.563025	0.436975	0.40791	26679.77	-0.285654	0.257384	0.417722	0.253165	0.097046	0.510549	0.489451	0.291139	0.181435	0.109705	9.366035	9.088608
ECs0011	CDS	+2	10742	11362	621	automatic/finished	no			conserved hypothetical protein										2005-01-04 00:00:00	UNIQUE_BANK			18 : Unknown function ;			0.225443	0.2738	0.227053	0.273752	0.500805	0.499195	0.309179	0.183575	0.149758	0.357488	0.333333	0.666667	0.140097	0.318841	0.304348	0.236715	0.623188	0.376812	0.227053	0.318841	0.227053	0.227053	0.545894	0.454106	0.303903	22528.155	-0.041748	0.436893	0.61165	0.169903	0.082524	0.509709	0.490291	0.15534	0.121359	0.033981	9.744041	8.674757
ECs0013	CDS	-2	11399	11803	405	automatic/finished	no	yaaI		conserved hypothetical protein	4 : Unknown function but conserved in other organisms	u : unknown	1 : Unknown							2005-01-04 00:00:00	COMMON			18 : Unknown function ;	1		0.281481	0.2691	0.219753	0.22963	0.488889	0.511111	0.362963	0.2	0.281481	0.155556	0.481481	0.518519	0.296296	0.244444	0.17037	0.288889	0.414815	0.585185	0.185185	0.362963	0.207407	0.244444	0.57037	0.42963	0.507115	14464.985	-0.028358	0.350746	0.559701	0.238806	0.059701	0.5	0.5	0.216418	0.126866	0.089552	8.431969	8.455224
ECs0014	CDS	+3	12180	14096	1917	automatic/finished	no	dnaK	grpF, seg, lop, groPAB, groPC, groPF, grpC	chaperone Hsp70, co-chaperone with DnaJ	1b : Function from experimental evidences in the studied species	f : factor	2 : Cytoplasmic	2.3.4 : Chaperoning, folding ; 5.1 : Cell division ; 5.5.1 : Osmotic pressure ; 7.1 : Cytoplasm ;						2005-01-04 00:00:00	COMMON			11.3 : Protein folding and stabilization ; 15.1 : Cell division ;	2		0.280125	0.2483	0.265519	0.206051	0.513824	0.486176	0.28795	0.219092	0.42097	0.071987	0.640063	0.359937	0.366197	0.245696	0.123631	0.264476	0.369327	0.630673	0.186228	0.280125	0.251956	0.28169	0.532081	0.467919	0.819461	69112.095	-0.408621	0.293103	0.529781	0.217868	0.048589	0.498433	0.501567	0.294671	0.130094	0.164577	4.831459	9.269592
ECs0015	CDS	+1	14185	15315	1131	automatic/finished	no	dnaJ	groP, grpC	chaperone Hsp40, co-chaperone with DnaK	1b : Function from experimental evidences in the studied species	f : factor	2 : Cytoplasmic	2.3.4 : Chaperoning, folding ; 7.1 : Cytoplasm ;						2005-01-04 00:00:00	COMMON	10210198, 10891270, 1826368, 3003084, 3003085, 8764403, 9822822		11.3 : Protein folding and stabilization ;	2		0.244032	0.2458	0.30504	0.205128	0.55084	0.44916	0.212202	0.249337	0.413793	0.124668	0.66313	0.33687	0.34748	0.177719	0.249337	0.225464	0.427056	0.572944	0.172414	0.310345	0.251989	0.265252	0.562334	0.437666	0.64825	41042.625	-0.631117	0.319149	0.50266	0.162234	0.098404	0.534574	0.465426	0.303191	0.167553	0.135638	8.016792	10.055851
ECs0016	CDS	-2	15419	15628	210	automatic/finished	no	mokC	gefL, gef	regulatory protein for HokC, overlaps CDS of hokC	1b : Function from experimental evidences in the studied species	r : regulator	1 : Unknown	10 : cryptic genes ; 4.9.B.6 : The Toxic Hok/Gef Protein (Hok/Gef) Family ; 5.6.3 : Cell killing ;						2005-01-04 00:00:00	COMMON			7 : Transport and binding proteins ; 15 : Cellular processes ;	2		0.266667	0.2238	0.285714	0.22381	0.509524	0.490476	0.357143	0.171429	0.371429	0.1	0.542857	0.457143	0.285714	0.228571	0.128571	0.357143	0.357143	0.642857	0.157143	0.271429	0.357143	0.214286	0.628571	0.371429	0.43852	7770.02	0.289855	0.275362	0.492754	0.304348	0.057971	0.550725	0.449275	0.289855	0.188406	0.101449	9.26136	10.202899
ECs0017	CDS	+2	16157	17323	1167	automatic/finished	no	nhaA	ant, antA, hyc	sodium-proton antiporter	1b : Function from experimental evidences in the studied species	t : transporter	5 : Inner membrane protein	4.2.A.33 : The NhaA Na+:H+ Antiporter (NhaA) Family ; 4.S.136 : Na+/H+ ; 5.5.4 : pH response ; 6.1 : Membrane ; 7.3 : Inner membrane ;						2005-01-04 00:00:00	COMMON			7.4 : Cations and iron carrying compounds ; 15.10 : Adaptations to atypical conditions ;	1		0.185947	0.2271	0.286204	0.300771	0.513282	0.486718	0.239075	0.218509	0.352185	0.190231	0.570694	0.429306	0.156812	0.233933	0.18509	0.424165	0.419023	0.580977	0.161954	0.228792	0.321337	0.287918	0.550129	0.449871	0.429335	41339.895	1.003866	0.322165	0.494845	0.350515	0.108247	0.731959	0.268041	0.134021	0.085052	0.048969	9.277809	8.255155
ECs0018	CDS	+1	17383	18288	906	automatic/finished	no	nhaR	yaaB, antO	DNA-binding transcriptional activator	1b : Function from experimental evidences in the studied species	r : regulator	2 : Cytoplasmic	2.2.2 : Transcription related ; 3.1.2.2 : Activator ; 3.3.1 : Operon (regulation of one operon) ; 5.5.4 : pH response ; 7.1 : Cytoplasm ;						2005-01-04 00:00:00	COMMON	2429258, 3413113, 8168494		9 : Transcription ; 12.1 : DNA interactions ; 15.10 : Adaptations to atypical conditions ;	1		0.250552	0.2163	0.259382	0.273731	0.475717	0.524283	0.231788	0.235099	0.331126	0.201987	0.566225	0.433775	0.317881	0.18543	0.175497	0.321192	0.360927	0.639073	0.201987	0.228477	0.271523	0.298013	0.5	0.5	0.431909	34311.2	-0.108306	0.249169	0.445183	0.23588	0.13289	0.571429	0.428571	0.255814	0.129568	0.126246	5.645256	9.827243
ECs0019	fCDS	-2	18326	18853	528	automatic/finished	pseudo			fragment of conserved hypothetical protein; putative exported protein; putative bacterial adhesin (part 2)	5 : Unknown function	u : unknown	1 : Unknown							2005-01-04 00:00:00	COMMON			18 : Unknown function ;	3		0.333333	0.1686	0.200758	0.297348	0.369318	0.630682	0.335227	0.170455	0.267045	0.227273	0.4375	0.5625	0.392045	0.125	0.1875	0.295455	0.3125	0.6875	0.272727	0.210227	0.147727	0.369318	0.357955	0.642045	0.312768	19903.22	-0.424	0.251429	0.491429	0.211429	0.137143	0.48	0.52	0.194286	0.074286	0.12	4.552467	9.817143
ECO570018	CDS	-3	18832	19008	177	automatic/finished	no			conserved hypothetical protein										2005-01-04 00:00:00	UNIQUE_AMIGA			18 : Unknown function ;	3		0.310734	0.1977	0.163842	0.327684	0.361582	0.638418	0.322034	0.152542	0.20339	0.322034	0.355932	0.644068	0.288136	0.288136	0.084746	0.338983	0.372881	0.627119	0.322034	0.152542	0.20339	0.322034	0.355932	0.644068	0.314942	6371.175	0.303448	0.327586	0.5	0.275862	0.086207	0.534483	0.465517	0.172414	0.086207	0.086207	6.262413	7.431034
ECs0021	fCDS	-2	18959	19285	327	automatic/finished	pseudo			fragment of conserved hypothetical protein; putative exported protein; putative bacterial adhesin (part 1)	5 : Unknown function	u : unknown	1 : Unknown							2005-01-04 00:00:00	COMMON			18 : Unknown function ;	3		0.333333	0.1774	0.192661	0.296636	0.370031	0.629969	0.394495	0.146789	0.247706	0.211009	0.394495	0.605505	0.321101	0.183486	0.174312	0.321101	0.357798	0.642202	0.284404	0.201835	0.155963	0.357798	0.357798	0.642202	0.275712	12102.565	-0.041667	0.287037	0.453704	0.259259	0.101852	0.527778	0.472222	0.212963	0.12963	0.083333	9.008644	8.731481
ECs0022	CDS	-2	19298	21748	2451	automatic/finished	no			putative fimbrial biogenesis outer membrane usher protein	3 : Putative function from multiple computational evidences	m : membrane component	7 : Outer membrane protein	7.4 : Outer membrane ;						2005-01-04 00:00:00	COMMON			14.1 : Surface structures ;	3		0.308854	0.2032	0.206854	0.28111	0.410037	0.589963	0.318237	0.198286	0.27295	0.210526	0.471236	0.528764	0.362301	0.19339	0.194614	0.249694	0.388005	0.611995	0.246022	0.21787	0.152999	0.383109	0.370869	0.629131	0.331695	92042.265	-0.505392	0.290441	0.520833	0.196078	0.142157	0.497549	0.502451	0.198529	0.094363	0.104167	5.118782	9.183824
ECs0023	CDS	-2	21761	22444	684	automatic/finished	no			putative membrane-associated pilin chaperone	3 : Putative function from multiple computational evidences	f : factor	11 : Membrane	2.3.4 : Chaperoning, folding ; 7.2 : Periplasmic space ;						2005-01-04 00:00:00	COMMON			11.3 : Protein folding and stabilization ;	3		0.381579	0.1974	0.168129	0.252924	0.365497	0.634503	0.425439	0.192982	0.241228	0.140351	0.434211	0.565789	0.359649	0.210526	0.118421	0.311404	0.328947	0.671053	0.359649	0.188596	0.144737	0.307018	0.333333	0.666667	0.316692	25368.29	-0.23304	0.220264	0.502203	0.277533	0.079295	0.515419	0.484581	0.207048	0.140969	0.066079	9.922951	8.709251
ECs0024	CDS	-1	22494	23027	534	automatic/finished	no			putative fimbrial-like protein	3 : Putative function from multiple computational evidences	s : structure	3 : Fimbrial	6.5 : Pilus ;						2005-01-04 00:00:00	COMMON			14.1 : Surface structures ;	3		0.335206	0.1929	0.198502	0.273408	0.391386	0.608614	0.393258	0.106742	0.331461	0.168539	0.438202	0.561798	0.308989	0.269663	0.134831	0.286517	0.404494	0.595506	0.303371	0.202247	0.129213	0.365169	0.331461	0.668539	0.335855	19126.7	-0.121469	0.355932	0.60452	0.214689	0.084746	0.497175	0.502825	0.19774	0.079096	0.118644	4.522881	9.141243
ECs0025	CDS	-3	23329	24750	1422	automatic/finished	no			conserved hypothetical protein	4 : Unknown function but conserved in other organisms	u : unknown	1 : Unknown							2005-01-04 00:00:00	COMMON			18 : Unknown function ;	3		0.379747	0.1709	0.151899	0.297468	0.322785	0.677215	0.373418	0.162447	0.202532	0.261603	0.364979	0.635021	0.419831	0.166667	0.109705	0.303797	0.276371	0.723629	0.345992	0.183544	0.14346	0.327004	0.327004	0.672996	0.292812	55770.75	-0.445877	0.211416	0.412262	0.217759	0.156448	0.465116	0.534884	0.274841	0.154334	0.120507	7.88958	8.883721
ECs0026	CDS	-2	25220	25483	264	automatic/finished	no	rpsT	sup(s20), supS20	30S ribosomal subunit protein S20	1b : Function from experimental evidences in the studied species	s : structure	2 : Cytoplasmic	2.3.2 : Translation ; 2.3.8 : Ribosomal proteins ; 6.6 : Ribosome ; 7.1 : Cytoplasm ;						2005-01-04 00:00:00	COMMON	10094780, 12244297, 12809609, 2429258, 2985604, 6267039, 786731		10.2 : Ribosomal proteins: synthesis and modification ; 10.4 : Translation factors ;	2		0.337121	0.2500	0.215909	0.19697	0.465909	0.534091	0.375	0.215909	0.318182	0.090909	0.534091	0.465909	0.397727	0.284091	0.113636	0.204545	0.397727	0.602273	0.238636	0.25	0.215909	0.295455	0.465909	0.534091	0.752576	9665.91	-0.682759	0.310345	0.436782	0.149425	0.068966	0.471264	0.528736	0.333333	0.275862	0.057471	11.182472	9.011494
ECs0027	CDS	+2	25586	25810	225	automatic/finished	no	yaaY		conserved hypothetical protein	4 : Unknown function but conserved in other organisms	u : unknown	1 : Unknown							2005-01-04 00:00:00	UNIQUE_BANK			18 : Unknown function ;			0.226667	0.2400	0.24	0.293333	0.48	0.52	0.266667	0.226667	0.24	0.266667	0.466667	0.533333	0.16	0.213333	0.253333	0.373333	0.466667	0.533333	0.253333	0.28	0.226667	0.24	0.506667	0.493333	0.298712	8182.405	0.582432	0.378378	0.459459	0.22973	0.148649	0.635135	0.364865	0.148649	0.121622	0.027027	9.747139	8.864865
ECs0028	CDS	+3	25818	26759	942	automatic/finished	no	ribF	yaaC	bifunctional riboflavin kinase and FAD synthetase	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.5.3.9 : Riboflavin (Vitamin B2), FAD, FMN ; 7.1 : Cytoplasm ;	2.7.1.26, 2.7.7.2	FADSYN-RXN$RIBOFLAVINKIN-RXN	RIBOSYN2-PWY			2005-01-04 00:00:00	COMMON	2985604, 9743119		4.9 : Riboflavin, FMN, and FAD ;	1		0.226115	0.2410	0.294055	0.238853	0.535032	0.464968	0.191083	0.289809	0.375796	0.143312	0.665605	0.334395	0.270701	0.184713	0.216561	0.328025	0.401274	0.598726	0.216561	0.248408	0.289809	0.245223	0.538217	0.461783	0.405819	34732.92	-0.066773	0.268371	0.469649	0.258786	0.095847	0.58147	0.41853	0.271565	0.159744	0.111821	9.337837	9.642173
ECs0029	CDS	+3	26802	29618	2817	automatic/finished	no	ileS	ilvS	isoleucyl-tRNA synthetase	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	2.3.1 : Amino acid-activation ; 7.1 : Cytoplasm ;	6.1.1.5	ISOLEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY			2005-01-04 00:00:00	COMMON	2011499, 2985604, 6374664, 6378662, 6390679, 7929087, 9554847		10.1 : tRNA aminoacylation ;	2		0.230032	0.2620	0.29535	0.212638	0.55733	0.44267	0.225772	0.227902	0.395101	0.151225	0.623003	0.376997	0.320554	0.227902	0.183174	0.268371	0.411076	0.588924	0.14377	0.330138	0.307774	0.218317	0.637913	0.362087	0.681223	104320.675	-0.265458	0.292111	0.514925	0.210021	0.119403	0.566098	0.433902	0.279318	0.140725	0.138593	5.618019	9.528785
ECs0030	CDS	+2	29618	30112	495	automatic/finished	no	lspA	dapB, ileS	prolipoprotein signal peptidase (signal peptidase II)	1b : Function from experimental evidences in the studied species	e : enzyme	5 : Inner membrane protein	2.3.5 : Export, signal peptide cleavage ; 4.S.160 : protein ; 6.1 : Membrane ; 7.3 : Inner membrane ;	3.4.23.36	3.4.23.36-RXN				2005-01-04 00:00:00	COMMON	6378662		7 : Transport and binding proteins ; 11.1 : Protein and peptide secretion and trafficking ;	2		0.185859	0.2525	0.280808	0.280808	0.533333	0.466667	0.248485	0.224242	0.327273	0.2	0.551515	0.448485	0.224242	0.187879	0.2	0.387879	0.387879	0.612121	0.084848	0.345455	0.315152	0.254545	0.660606	0.339394	0.542953	18143.535	0.660366	0.304878	0.493902	0.292683	0.164634	0.689024	0.310976	0.140244	0.085366	0.054878	8.623161	8.47561
ECs0031	CDS	+2	30200	30649	450	automatic/finished	no	fkpB	slpA, yaaD	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	2.3.4 : Chaperoning, folding ; 7.1 : Cytoplasm ;	5.2.1.8	PEPTIDYLPROLYL-ISOMERASE-RXN				2005-01-04 00:00:00	COMMON	2011499		11.3 : Protein folding and stabilization ;	1		0.222222	0.2733	0.28	0.224444	0.553333	0.446667	0.226667	0.246667	0.393333	0.133333	0.64	0.36	0.293333	0.253333	0.14	0.313333	0.393333	0.606667	0.146667	0.32	0.306667	0.226667	0.626667	0.373333	0.560911	16080.4	-0.095302	0.308725	0.536913	0.221477	0.09396	0.543624	0.456376	0.255034	0.087248	0.167785	4.299965	8.993289
ECs0032	CDS	+3	30651	31601	951	automatic/finished	no	ispH	lytB, yaaE	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	1b : Function from experimental evidences in the studied species	c : carrier	2 : Cytoplasmic	1.5.3.19 : Isoprenoid biosynthesis ; 3.1.4 : Regulation level unknown ; 5.6.4 : Drug resistance/sensitivity ; 7.1 : Cytoplasm ;	1.17.1.2	RXN0-884$ISPH2-RXN	NONMEVIPP-PWY			2005-01-04 00:00:00	COMMON	11818558, 12198182, 12706830, 21311595, 21574179, 8432714		4 : Biosynthesis of cofactors, prosthetic groups, and carriers ; 12 : Regulatory functions ; 15.8 : Toxin production and resistance ;	1		0.231335	0.2429	0.309148	0.216614	0.55205	0.44795	0.223975	0.223975	0.432177	0.119874	0.656151	0.343849	0.312303	0.208202	0.179811	0.299685	0.388013	0.611987	0.157729	0.29653	0.315457	0.230284	0.611987	0.388013	0.581706	34773.165	-0.172785	0.272152	0.525316	0.256329	0.06962	0.541139	0.458861	0.287975	0.136076	0.151899	5.184471	9.905063
ECs0033	CDS	+2	31667	32581	915	automatic/finished	no	rihC	yaaF	ribonucleoside hydrolase 3	1b : Function from experimental evidences in the studied species	e : enzyme	1 : Unknown	1.7.33 : Nucleotide and nucleoside conversions ;	3.2.2.-	URIDINE-NUCLEOSIDASE-RXN$RXN0-361$RXN0-363$INOSINE-NUCLEOSIDASE-RXN$ADENOSINE-NUCLEOSIDASE-RXN	P1-PWY$PWY-6556$PWY-6605			2005-01-04 00:00:00	COMMON			2.2 : Nucleotide and nucleoside interconversions ;	1		0.204372	0.2842	0.272131	0.239344	0.556284	0.443716	0.219672	0.262295	0.373771	0.144262	0.636066	0.363934	0.229508	0.272131	0.17377	0.32459	0.445902	0.554098	0.163934	0.318033	0.268852	0.24918	0.586885	0.413115	0.449623	32596.565	0.294737	0.319079	0.5625	0.256579	0.082237	0.641447	0.358553	0.1875	0.092105	0.095395	5.36338	9.588816
ECs0034	CDS	+3	32748	33569	822	automatic/finished	no	dapB		dihydrodipicolinate reductase	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.5.1.7 : Lysine, diaminopimelate ; 6.2 : Peptidoglycan (murein) ; 7.1 : Cytoplasm ;	1.3.1.26	DIHYDROPICRED-RXN	DAPLYSINESYN-PWY			2005-01-04 00:00:00	COMMON	6094578, 6377309, 7893645, 9398235		1.2 : Aspartate family ; 14.2 : Biosynthesis and degradation of murein sacculus and peptidoglycan ;	1		0.231144	0.2214	0.307786	0.239659	0.529197	0.470803	0.251825	0.182482	0.463504	0.10219	0.645985	0.354015	0.277372	0.226277	0.208029	0.288321	0.434307	0.565693	0.164234	0.255474	0.251825	0.328467	0.507299	0.492701	0.482791	28796.43	0.010623	0.3663	0.549451	0.216117	0.087912	0.582418	0.417582	0.271062	0.135531	0.135531	5.448082	9.443223
